study,refinement,error_or_value,pairwise_order
spatial_diffusion,dx=0.04000,2.399387e-03,
spatial_diffusion,dx=0.02000,6.052401e-05,
spatial_diffusion,dx=0.01000,1.516458e-05,
spatial_diffusion,dx=0.00500,3.793227e-06,
spatial_diffusion,dx=0.00250,9.484365e-07,
spatial_diffusion_order,dx=0.02000,,5.3090
spatial_diffusion_order,dx=0.01000,,1.9968
spatial_diffusion_order,dx=0.00500,,1.9992
spatial_diffusion_order,dx=0.00250,,1.9998
velocity_vs_dx,dx=0.02000,0.0251519,
velocity_vs_dx,dx=0.01000,0.0255366,
velocity_vs_dx,dx=0.00500,0.0256365,
velocity_vs_dx,dx=0.00250,0.0256619,
velocity_richardson,extrapolated,0.0256705,
temporal_euler_smooth,dt=0.02000,8.393025e-03,
temporal_euler_smooth,dt=0.01000,4.202581e-03,
temporal_euler_smooth,dt=0.00500,2.102802e-03,
temporal_euler_smooth,dt=0.00250,1.051778e-03,
temporal_rk4_smooth,dt=0.02000,2.300743e-09,
temporal_rk4_smooth,dt=0.01000,1.418636e-10,
temporal_rk4_smooth,dt=0.00500,8.815619e-12,
temporal_rk4_smooth,dt=0.00250,6.251311e-13,
temporal_rk4_with_stimulus,dt=0.02000,6.523397e-03,
temporal_rk4_with_stimulus,dt=0.01000,3.234675e-03,
temporal_rk4_with_stimulus,dt=0.00500,1.598383e-03,
temporal_rk4_with_stimulus,dt=0.00250,7.822423e-04,
