rho,rho_minus_rho_crit,transit_ms,excess_delay_ms,slowing_factor
0.4717558,0.3145039,29.73977,2.32496,1.0848
0.3145039,0.1572519,31.74620,4.33139,1.1580
0.2044275,0.0471756,34.92347,7.50866,1.2739
0.1729771,0.0157252,36.90922,9.49441,1.3463
0.1619695,0.0047176,38.33444,10.91962,1.3983
0.1588244,0.0015725,39.29785,11.88304,1.4335
0.1577237,0.0004718,40.18026,12.76545,1.4656
0.1574092,0.0001573,40.90904,13.49423,1.4922
0.1572677,0.0000157,42.25676,14.84194,1.5414
0.1572535,0.0000016,43.09689,15.68207,1.5720
0.1572521,0.0000002,43.34245,15.92764,1.5810
0.1572519,0.0000000,43.37608,15.96127,1.5822
0.1572519,0.0000000,43.37959,15.96478,1.5823
